family,award_year,record_disposition,record_origin,detailed_identity_reason,column,units,source_record_count,observed_amount_cells,unknown_amount_cells,known_source_dollar_sum
grants,2003-2004,excluded_annual_identity_unresolved,opeid_master,crosswalk_site_parse_incomplete,grant__acg_disbursements,nominal_usd,1,0,1,
grants,2003-2004,excluded_annual_identity_unresolved,opeid_master,crosswalk_site_parse_incomplete,grant__smart_disbursements,nominal_usd,1,0,1,
grants,2003-2004,excluded_annual_identity_unresolved,opeid_master,crosswalk_site_parse_incomplete,grant__teach_disbursements,nominal_usd,1,0,1,
grants,2003-2004,excluded_annual_identity_unresolved,opeid_master,crosswalk_site_parse_incomplete,grant__iasg_disbursements,nominal_usd,1,0,1,
grants,2003-2004,excluded_annual_identity_unresolved,opeid_master,multiple_official_site_unitids,grant__pell_disbursements,nominal_usd,77,77,0,697217997.36
grants,2003-2004,excluded_annual_identity_unresolved,opeid_master,multiple_official_site_unitids,grant__acg_disbursements,nominal_usd,77,0,77,
grants,2003-2004,excluded_annual_identity_unresolved,opeid_master,multiple_official_site_unitids,grant__smart_disbursements,nominal_usd,77,0,77,
grants,2003-2004,excluded_annual_identity_unresolved,opeid_master,multiple_official_site_unitids,grant__teach_disbursements,nominal_usd,77,0,77,
grants,2003-2004,excluded_annual_identity_unresolved,opeid_master,multiple_official_site_unitids,grant__iasg_disbursements,nominal_usd,77,0,77,
grants,2003-2004,excluded_annual_identity_unresolved,opeid_master,no_annual_site_match,grant__pell_disbursements,nominal_usd,126,126,0,49737291.34
grants,2003-2004,excluded_annual_identity_unresolved,opeid_master,no_annual_site_match,grant__acg_disbursements,nominal_usd,126,0,126,
grants,2003-2004,excluded_annual_identity_unresolved,opeid_master,no_annual_site_match,grant__smart_disbursements,nominal_usd,126,0,126,
grants,2003-2004,excluded_annual_identity_unresolved,opeid_master,no_annual_site_match,grant__teach_disbursements,nominal_usd,126,0,126,
grants,2003-2004,excluded_annual_identity_unresolved,opeid_master,no_annual_site_match,grant__iasg_disbursements,nominal_usd,126,0,126,
grants,2003-2004,excluded_annual_identity_unresolved,opeid_master,resolved_administrative_directory_identity_ineligible,grant__pell_disbursements,nominal_usd,14,14,0,771578397.2700001
grants,2003-2004,excluded_annual_identity_unresolved,opeid_master,resolved_administrative_directory_identity_ineligible,grant__acg_disbursements,nominal_usd,14,0,14,
grants,2003-2004,excluded_annual_identity_unresolved,opeid_master,resolved_administrative_directory_identity_ineligible,grant__smart_disbursements,nominal_usd,14,0,14,
grants,2003-2004,excluded_annual_identity_unresolved,opeid_master,resolved_administrative_directory_identity_ineligible,grant__teach_disbursements,nominal_usd,14,0,14,
grants,2003-2004,excluded_annual_identity_unresolved,opeid_master,resolved_administrative_directory_identity_ineligible,grant__iasg_disbursements,nominal_usd,14,0,14,
grants,2003-2004,included_unique_family_record,opeid_master,official_site_alias_annual_unitid_verified,grant__pell_disbursements,nominal_usd,26,26,0,33124864.150000002
grants,2003-2004,included_unique_family_record,opeid_master,official_site_alias_annual_unitid_verified,grant__acg_disbursements,nominal_usd,26,0,26,
grants,2003-2004,included_unique_family_record,opeid_master,official_site_alias_annual_unitid_verified,grant__smart_disbursements,nominal_usd,26,0,26,
grants,2003-2004,included_unique_family_record,opeid_master,official_site_alias_annual_unitid_verified,grant__teach_disbursements,nominal_usd,26,0,26,
grants,2003-2004,included_unique_family_record,opeid_master,official_site_alias_annual_unitid_verified,grant__iasg_disbursements,nominal_usd,26,0,26,
grants,2003-2004,included_unique_family_record,opeid_master,official_site_and_directory_agree,grant__pell_disbursements,nominal_usd,4945,4945,0,10997753343.11
grants,2003-2004,included_unique_family_record,opeid_master,official_site_and_directory_agree,grant__acg_disbursements,nominal_usd,4945,0,4945,
grants,2003-2004,included_unique_family_record,opeid_master,official_site_and_directory_agree,grant__smart_disbursements,nominal_usd,4945,0,4945,
grants,2003-2004,included_unique_family_record,opeid_master,official_site_and_directory_agree,grant__teach_disbursements,nominal_usd,4945,0,4945,
grants,2003-2004,included_unique_family_record,opeid_master,official_site_and_directory_agree,grant__iasg_disbursements,nominal_usd,4945,0,4945,
grants,2004-2005,ambiguous_family_multiple_records,opeid_master,multiple_fsa_records_for_same_unitid_year_family,grant__pell_disbursements,nominal_usd,8,8,0,23386380.76
grants,2004-2005,ambiguous_family_multiple_records,opeid_master,multiple_fsa_records_for_same_unitid_year_family,grant__acg_disbursements,nominal_usd,8,0,8,
grants,2004-2005,ambiguous_family_multiple_records,opeid_master,multiple_fsa_records_for_same_unitid_year_family,grant__smart_disbursements,nominal_usd,8,0,8,
grants,2004-2005,ambiguous_family_multiple_records,opeid_master,multiple_fsa_records_for_same_unitid_year_family,grant__teach_disbursements,nominal_usd,8,0,8,
grants,2004-2005,ambiguous_family_multiple_records,opeid_master,multiple_fsa_records_for_same_unitid_year_family,grant__iasg_disbursements,nominal_usd,8,0,8,
grants,2004-2005,excluded_annual_identity_unresolved,opeid_master,crosswalk_site_parse_incomplete,grant__pell_disbursements,nominal_usd,1,1,0,128652301.1
grants,2004-2005,excluded_annual_identity_unresolved,opeid_master,crosswalk_site_parse_incomplete,grant__acg_disbursements,nominal_usd,1,0,1,
grants,2004-2005,excluded_annual_identity_unresolved,opeid_master,crosswalk_site_parse_incomplete,grant__smart_disbursements,nominal_usd,1,0,1,
grants,2004-2005,excluded_annual_identity_unresolved,opeid_master,crosswalk_site_parse_incomplete,grant__teach_disbursements,nominal_usd,1,0,1,
grants,2004-2005,excluded_annual_identity_unresolved,opeid_master,crosswalk_site_parse_incomplete,grant__iasg_disbursements,nominal_usd,1,0,1,
grants,2004-2005,excluded_annual_identity_unresolved,opeid_master,multiple_nonadministrative_directory_unitids,grant__pell_disbursements,nominal_usd,1,1,0,230448.5
grants,2004-2005,excluded_annual_identity_unresolved,opeid_master,multiple_nonadministrative_directory_unitids,grant__acg_disbursements,nominal_usd,1,0,1,
grants,2004-2005,excluded_annual_identity_unresolved,opeid_master,multiple_nonadministrative_directory_unitids,grant__smart_disbursements,nominal_usd,1,0,1,
grants,2004-2005,excluded_annual_identity_unresolved,opeid_master,multiple_nonadministrative_directory_unitids,grant__teach_disbursements,nominal_usd,1,0,1,
grants,2004-2005,excluded_annual_identity_unresolved,opeid_master,multiple_nonadministrative_directory_unitids,grant__iasg_disbursements,nominal_usd,1,0,1,
grants,2004-2005,excluded_annual_identity_unresolved,opeid_master,multiple_official_site_unitids,grant__pell_disbursements,nominal_usd,85,85,0,798185175.67
grants,2004-2005,excluded_annual_identity_unresolved,opeid_master,multiple_official_site_unitids,grant__acg_disbursements,nominal_usd,85,0,85,
grants,2004-2005,excluded_annual_identity_unresolved,opeid_master,multiple_official_site_unitids,grant__smart_disbursements,nominal_usd,85,0,85,
grants,2004-2005,excluded_annual_identity_unresolved,opeid_master,multiple_official_site_unitids,grant__teach_disbursements,nominal_usd,85,0,85,
grants,2004-2005,excluded_annual_identity_unresolved,opeid_master,multiple_official_site_unitids,grant__iasg_disbursements,nominal_usd,85,0,85,
grants,2004-2005,excluded_annual_identity_unresolved,opeid_master,no_annual_site_match,grant__pell_disbursements,nominal_usd,129,129,0,59737880.97
grants,2004-2005,excluded_annual_identity_unresolved,opeid_master,no_annual_site_match,grant__acg_disbursements,nominal_usd,129,0,129,
grants,2004-2005,excluded_annual_identity_unresolved,opeid_master,no_annual_site_match,grant__smart_disbursements,nominal_usd,129,0,129,
grants,2004-2005,excluded_annual_identity_unresolved,opeid_master,no_annual_site_match,grant__teach_disbursements,nominal_usd,129,0,129,
grants,2004-2005,excluded_annual_identity_unresolved,opeid_master,no_annual_site_match,grant__iasg_disbursements,nominal_usd,129,0,129,
grants,2004-2005,excluded_annual_identity_unresolved,opeid_master,resolved_administrative_directory_identity_ineligible,grant__pell_disbursements,nominal_usd,11,11,0,663809533.63
grants,2004-2005,excluded_annual_identity_unresolved,opeid_master,resolved_administrative_directory_identity_ineligible,grant__acg_disbursements,nominal_usd,11,0,11,
grants,2004-2005,excluded_annual_identity_unresolved,opeid_master,resolved_administrative_directory_identity_ineligible,grant__smart_disbursements,nominal_usd,11,0,11,
grants,2004-2005,excluded_annual_identity_unresolved,opeid_master,resolved_administrative_directory_identity_ineligible,grant__teach_disbursements,nominal_usd,11,0,11,
grants,2004-2005,excluded_annual_identity_unresolved,opeid_master,resolved_administrative_directory_identity_ineligible,grant__iasg_disbursements,nominal_usd,11,0,11,
grants,2004-2005,included_unique_family_record,opeid_master,official_site_alias_annual_unitid_verified,grant__pell_disbursements,nominal_usd,16,16,0,2383687.5999999996
grants,2004-2005,included_unique_family_record,opeid_master,official_site_alias_annual_unitid_verified,grant__acg_disbursements,nominal_usd,16,0,16,
grants,2004-2005,included_unique_family_record,opeid_master,official_site_alias_annual_unitid_verified,grant__smart_disbursements,nominal_usd,16,0,16,
grants,2004-2005,included_unique_family_record,opeid_master,official_site_alias_annual_unitid_verified,grant__teach_disbursements,nominal_usd,16,0,16,
grants,2004-2005,included_unique_family_record,opeid_master,official_site_alias_annual_unitid_verified,grant__iasg_disbursements,nominal_usd,16,0,16,
grants,2004-2005,included_unique_family_record,opeid_master,official_site_and_directory_agree,grant__pell_disbursements,nominal_usd,4960,4960,0,11459200465.97
grants,2004-2005,included_unique_family_record,opeid_master,official_site_and_directory_agree,grant__acg_disbursements,nominal_usd,4960,0,4960,
grants,2004-2005,included_unique_family_record,opeid_master,official_site_and_directory_agree,grant__smart_disbursements,nominal_usd,4960,0,4960,
grants,2004-2005,included_unique_family_record,opeid_master,official_site_and_directory_agree,grant__teach_disbursements,nominal_usd,4960,0,4960,
grants,2004-2005,included_unique_family_record,opeid_master,official_site_and_directory_agree,grant__iasg_disbursements,nominal_usd,4960,0,4960,
grants,2005-2006,excluded_annual_identity_unresolved,opeid_master,crosswalk_site_parse_incomplete,grant__pell_disbursements,nominal_usd,1,1,0,133608449.3
grants,2005-2006,excluded_annual_identity_unresolved,opeid_master,crosswalk_site_parse_incomplete,grant__acg_disbursements,nominal_usd,1,0,1,
grants,2005-2006,excluded_annual_identity_unresolved,opeid_master,crosswalk_site_parse_incomplete,grant__smart_disbursements,nominal_usd,1,0,1,
grants,2005-2006,excluded_annual_identity_unresolved,opeid_master,crosswalk_site_parse_incomplete,grant__teach_disbursements,nominal_usd,1,0,1,
grants,2005-2006,excluded_annual_identity_unresolved,opeid_master,crosswalk_site_parse_incomplete,grant__iasg_disbursements,nominal_usd,1,0,1,
grants,2005-2006,excluded_annual_identity_unresolved,opeid_master,multiple_official_site_unitids,grant__pell_disbursements,nominal_usd,94,94,0,910518273.6200001
grants,2005-2006,excluded_annual_identity_unresolved,opeid_master,multiple_official_site_unitids,grant__acg_disbursements,nominal_usd,94,0,94,
grants,2005-2006,excluded_annual_identity_unresolved,opeid_master,multiple_official_site_unitids,grant__smart_disbursements,nominal_usd,94,0,94,
grants,2005-2006,excluded_annual_identity_unresolved,opeid_master,multiple_official_site_unitids,grant__teach_disbursements,nominal_usd,94,0,94,
grants,2005-2006,excluded_annual_identity_unresolved,opeid_master,multiple_official_site_unitids,grant__iasg_disbursements,nominal_usd,94,0,94,
grants,2005-2006,excluded_annual_identity_unresolved,opeid_master,no_annual_site_match,grant__pell_disbursements,nominal_usd,112,112,0,55137317.35000001
