family,award_year,record_disposition,record_origin,column,units,source_record_count,observed_amount_cells,unknown_amount_cells,known_source_dollar_sum
grants,2007-2008,excluded_annual_identity_unresolved,opeid_master,grant__pell_disbursements,nominal_usd,229,229,0,1410394379.9899998
grants,2007-2008,excluded_annual_identity_unresolved,opeid_master,grant__acg_disbursements,nominal_usd,229,100,129,15872529.26
grants,2007-2008,excluded_annual_identity_unresolved,opeid_master,grant__smart_disbursements,nominal_usd,229,56,173,20747792.06
grants,2007-2008,excluded_annual_identity_unresolved,opeid_master,grant__teach_disbursements,nominal_usd,229,0,229,
grants,2007-2008,excluded_annual_identity_unresolved,opeid_master,grant__iasg_disbursements,nominal_usd,229,0,229,
grants,2007-2008,included_unique_family_record,opeid_master,grant__pell_disbursements,nominal_usd,5226,5225,1,13091798658.47
grants,2007-2008,included_unique_family_record,opeid_master,grant__acg_disbursements,nominal_usd,5226,2833,2393,289936411.0300001
grants,2007-2008,included_unique_family_record,opeid_master,grant__smart_disbursements,nominal_usd,5226,1416,3810,182738173.39999998
grants,2007-2008,included_unique_family_record,opeid_master,grant__teach_disbursements,nominal_usd,5226,0,5226,
grants,2007-2008,included_unique_family_record,opeid_master,grant__iasg_disbursements,nominal_usd,5226,0,5226,
grants,2008-2009,ambiguous_family_multiple_records,opeid_master,grant__pell_disbursements,nominal_usd,62,57,5,278942870.37
grants,2008-2009,ambiguous_family_multiple_records,opeid_master,grant__acg_disbursements,nominal_usd,62,55,7,4521558.37
grants,2008-2009,ambiguous_family_multiple_records,opeid_master,grant__smart_disbursements,nominal_usd,62,9,53,1864788.44
grants,2008-2009,ambiguous_family_multiple_records,opeid_master,grant__teach_disbursements,nominal_usd,62,2,60,75500.0
grants,2008-2009,ambiguous_family_multiple_records,opeid_master,grant__iasg_disbursements,nominal_usd,62,0,62,
grants,2008-2009,excluded_annual_identity_unresolved,opeid_master,grant__pell_disbursements,nominal_usd,299,298,1,2042112021.6399999
grants,2008-2009,excluded_annual_identity_unresolved,opeid_master,grant__acg_disbursements,nominal_usd,299,142,157,20267292.330000006
grants,2008-2009,excluded_annual_identity_unresolved,opeid_master,grant__smart_disbursements,nominal_usd,299,84,215,23737717.03
grants,2008-2009,excluded_annual_identity_unresolved,opeid_master,grant__teach_disbursements,nominal_usd,299,13,286,1582144.5
grants,2008-2009,excluded_annual_identity_unresolved,opeid_master,grant__iasg_disbursements,nominal_usd,299,0,299,
grants,2008-2009,included_unique_family_record,opeid_master,grant__pell_disbursements,nominal_usd,5178,5172,6,15959909811.16
grants,2008-2009,included_unique_family_record,opeid_master,grant__acg_disbursements,nominal_usd,5178,2838,2340,314693876.46000004
grants,2008-2009,included_unique_family_record,opeid_master,grant__smart_disbursements,nominal_usd,5178,1387,3791,174215267.00999996
grants,2008-2009,included_unique_family_record,opeid_master,grant__teach_disbursements,nominal_usd,5178,486,4692,35672341.309999995
grants,2008-2009,included_unique_family_record,opeid_master,grant__iasg_disbursements,nominal_usd,5178,0,5178,
grants,2009-2010,ambiguous_family_multiple_records,opeid_master,grant__pell_disbursements,nominal_usd,55,54,1,432198873.07
grants,2009-2010,ambiguous_family_multiple_records,opeid_master,grant__acg_disbursements,nominal_usd,55,47,8,5994296.279999999
grants,2009-2010,ambiguous_family_multiple_records,opeid_master,grant__smart_disbursements,nominal_usd,55,7,48,2405169.14
grants,2009-2010,ambiguous_family_multiple_records,opeid_master,grant__teach_disbursements,nominal_usd,55,2,53,107500.0
grants,2009-2010,ambiguous_family_multiple_records,opeid_master,grant__iasg_disbursements,nominal_usd,55,0,55,
grants,2009-2010,excluded_annual_identity_unresolved,opeid_master,grant__pell_disbursements,nominal_usd,353,352,1,3537387196.8900003
grants,2009-2010,excluded_annual_identity_unresolved,opeid_master,grant__acg_disbursements,nominal_usd,353,174,179,30229924.709999993
grants,2009-2010,excluded_annual_identity_unresolved,opeid_master,grant__smart_disbursements,nominal_usd,353,87,266,40290373.21
grants,2009-2010,excluded_annual_identity_unresolved,opeid_master,grant__teach_disbursements,nominal_usd,353,22,331,3727088.0
grants,2009-2010,excluded_annual_identity_unresolved,opeid_master,grant__iasg_disbursements,nominal_usd,353,0,353,
grants,2009-2010,included_unique_family_record,opeid_master,grant__pell_disbursements,nominal_usd,5192,5186,6,25829203938.179996
grants,2009-2010,included_unique_family_record,opeid_master,grant__acg_disbursements,nominal_usd,5192,2905,2287,437223006.7199999
grants,2009-2010,included_unique_family_record,opeid_master,grant__smart_disbursements,nominal_usd,5192,1400,3792,312856151.15
grants,2009-2010,included_unique_family_record,opeid_master,grant__teach_disbursements,nominal_usd,5192,706,4486,92045091.39
grants,2009-2010,included_unique_family_record,opeid_master,grant__iasg_disbursements,nominal_usd,5192,0,5192,
grants,2009-2010,included_unique_family_record,verified_quarantine_unitid_only,grant__pell_disbursements,nominal_usd,16,16,0,151082578.97
grants,2009-2010,included_unique_family_record,verified_quarantine_unitid_only,grant__acg_disbursements,nominal_usd,16,16,0,5834476.12
grants,2009-2010,included_unique_family_record,verified_quarantine_unitid_only,grant__smart_disbursements,nominal_usd,16,16,0,3796378.75
grants,2009-2010,included_unique_family_record,verified_quarantine_unitid_only,grant__teach_disbursements,nominal_usd,16,0,16,
grants,2009-2010,included_unique_family_record,verified_quarantine_unitid_only,grant__iasg_disbursements,nominal_usd,16,0,16,
grants,2010-2011,excluded_annual_identity_unresolved,opeid_master,grant__pell_disbursements,nominal_usd,257,257,0,4230501197.37
grants,2010-2011,excluded_annual_identity_unresolved,opeid_master,grant__acg_disbursements,nominal_usd,257,257,0,39274651.47
grants,2010-2011,excluded_annual_identity_unresolved,opeid_master,grant__smart_disbursements,nominal_usd,257,257,0,52254436.54
grants,2010-2011,excluded_annual_identity_unresolved,opeid_master,grant__teach_disbursements,nominal_usd,257,257,0,4241090.41
grants,2010-2011,excluded_annual_identity_unresolved,opeid_master,grant__iasg_disbursements,nominal_usd,257,257,0,11100.0
grants,2010-2011,included_unique_family_record,opeid_master,grant__pell_disbursements,nominal_usd,5272,5272,0,31339473583.29
grants,2010-2011,included_unique_family_record,opeid_master,grant__acg_disbursements,nominal_usd,5272,5272,0,513873296.57
grants,2010-2011,included_unique_family_record,opeid_master,grant__smart_disbursements,nominal_usd,5272,5272,0,380077305.71
grants,2010-2011,included_unique_family_record,opeid_master,grant__teach_disbursements,nominal_usd,5272,5272,0,117197730.8
grants,2010-2011,included_unique_family_record,opeid_master,grant__iasg_disbursements,nominal_usd,5272,5272,0,157945.0
grants,2011-2012,excluded_annual_identity_unresolved,opeid_master,grant__pell_disbursements,nominal_usd,118,118,0,1128024516.21
grants,2011-2012,excluded_annual_identity_unresolved,opeid_master,grant__acg_disbursements,nominal_usd,118,0,118,
grants,2011-2012,excluded_annual_identity_unresolved,opeid_master,grant__smart_disbursements,nominal_usd,118,0,118,
grants,2011-2012,excluded_annual_identity_unresolved,opeid_master,grant__teach_disbursements,nominal_usd,118,118,0,2416037.14
grants,2011-2012,excluded_annual_identity_unresolved,opeid_master,grant__iasg_disbursements,nominal_usd,118,118,0,13182.0
grants,2011-2012,included_unique_family_record,opeid_master,grant__pell_disbursements,nominal_usd,5369,5369,0,32370652277.369995
grants,2011-2012,included_unique_family_record,opeid_master,grant__acg_disbursements,nominal_usd,5369,0,5369,
grants,2011-2012,included_unique_family_record,opeid_master,grant__smart_disbursements,nominal_usd,5369,0,5369,
grants,2011-2012,included_unique_family_record,opeid_master,grant__teach_disbursements,nominal_usd,5369,5369,0,117621469.15
grants,2011-2012,included_unique_family_record,opeid_master,grant__iasg_disbursements,nominal_usd,5369,5369,0,163440.46
grants,2012-2013,excluded_annual_identity_unresolved,opeid_master,grant__pell_disbursements,nominal_usd,97,97,0,982959741.6700001
grants,2012-2013,excluded_annual_identity_unresolved,opeid_master,grant__acg_disbursements,nominal_usd,97,0,97,
grants,2012-2013,excluded_annual_identity_unresolved,opeid_master,grant__smart_disbursements,nominal_usd,97,0,97,
grants,2012-2013,excluded_annual_identity_unresolved,opeid_master,grant__teach_disbursements,nominal_usd,97,97,0,2105768.0
grants,2012-2013,excluded_annual_identity_unresolved,opeid_master,grant__iasg_disbursements,nominal_usd,97,97,0,11050.0
grants,2012-2013,included_unique_family_record,opeid_master,grant__pell_disbursements,nominal_usd,5378,5378,0,31064013081.89
grants,2012-2013,included_unique_family_record,opeid_master,grant__acg_disbursements,nominal_usd,5378,0,5378,
grants,2012-2013,included_unique_family_record,opeid_master,grant__smart_disbursements,nominal_usd,5378,0,5378,
grants,2012-2013,included_unique_family_record,opeid_master,grant__teach_disbursements,nominal_usd,5378,5378,0,107703331.49000001
grants,2012-2013,included_unique_family_record,opeid_master,grant__iasg_disbursements,nominal_usd,5378,5378,0,216344.0
grants,2013-2014,excluded_annual_identity_unresolved,opeid_master,grant__pell_disbursements,nominal_usd,136,136,0,1391691268.58
grants,2013-2014,excluded_annual_identity_unresolved,opeid_master,grant__acg_disbursements,nominal_usd,136,0,136,
grants,2013-2014,excluded_annual_identity_unresolved,opeid_master,grant__smart_disbursements,nominal_usd,136,0,136,
grants,2013-2014,excluded_annual_identity_unresolved,opeid_master,grant__teach_disbursements,nominal_usd,136,136,0,2026610.0999999999
grants,2013-2014,excluded_annual_identity_unresolved,opeid_master,grant__iasg_disbursements,nominal_usd,136,136,0,10161.0
grants,2013-2014,included_unique_family_record,opeid_master,grant__pell_disbursements,nominal_usd,5345,5345,0,30076196721.820004
grants,2013-2014,included_unique_family_record,opeid_master,grant__acg_disbursements,nominal_usd,5345,0,5345,
grants,2013-2014,included_unique_family_record,opeid_master,grant__smart_disbursements,nominal_usd,5345,0,5345,
grants,2013-2014,included_unique_family_record,opeid_master,grant__teach_disbursements,nominal_usd,5345,5345,0,94486810.55
grants,2013-2014,included_unique_family_record,opeid_master,grant__iasg_disbursements,nominal_usd,5345,5345,0,291769.36
grants,2014-2015,excluded_annual_identity_unresolved,opeid_master,grant__pell_disbursements,nominal_usd,115,115,0,1724948433.29
grants,2014-2015,excluded_annual_identity_unresolved,opeid_master,grant__acg_disbursements,nominal_usd,115,0,115,
grants,2014-2015,excluded_annual_identity_unresolved,opeid_master,grant__smart_disbursements,nominal_usd,115,0,115,
grants,2014-2015,excluded_annual_identity_unresolved,opeid_master,grant__teach_disbursements,nominal_usd,115,115,0,1884397.85
grants,2014-2015,excluded_annual_identity_unresolved,opeid_master,grant__iasg_disbursements,nominal_usd,115,115,0,29245.48
grants,2014-2015,included_unique_family_record,opeid_master,grant__pell_disbursements,nominal_usd,5334,5334,0,28897093192.609997
grants,2014-2015,included_unique_family_record,opeid_master,grant__acg_disbursements,nominal_usd,5334,0,5334,
grants,2014-2015,included_unique_family_record,opeid_master,grant__smart_disbursements,nominal_usd,5334,0,5334,
grants,2014-2015,included_unique_family_record,opeid_master,grant__teach_disbursements,nominal_usd,5334,5334,0,92452735.55000001
grants,2014-2015,included_unique_family_record,opeid_master,grant__iasg_disbursements,nominal_usd,5334,5334,0,302117.30000000005
grants,2015-2016,excluded_annual_identity_unresolved,opeid_master,grant__pell_disbursements,nominal_usd,107,107,0,1040186785.95
grants,2015-2016,excluded_annual_identity_unresolved,opeid_master,grant__acg_disbursements,nominal_usd,107,0,107,
grants,2015-2016,excluded_annual_identity_unresolved,opeid_master,grant__smart_disbursements,nominal_usd,107,0,107,
grants,2015-2016,excluded_annual_identity_unresolved,opeid_master,grant__teach_disbursements,nominal_usd,107,107,0,1850048.5
grants,2015-2016,excluded_annual_identity_unresolved,opeid_master,grant__iasg_disbursements,nominal_usd,107,107,0,21441.86
grants,2015-2016,included_unique_family_record,opeid_master,grant__pell_disbursements,nominal_usd,5290,5290,0,27511452974.63
grants,2015-2016,included_unique_family_record,opeid_master,grant__acg_disbursements,nominal_usd,5290,0,5290,
grants,2015-2016,included_unique_family_record,opeid_master,grant__smart_disbursements,nominal_usd,5290,0,5290,
grants,2015-2016,included_unique_family_record,opeid_master,grant__teach_disbursements,nominal_usd,5290,5290,0,87560972.81
grants,2015-2016,included_unique_family_record,opeid_master,grant__iasg_disbursements,nominal_usd,5290,5290,0,350474.83
grants,2016-2017,excluded_annual_identity_unresolved,opeid_master,grant__pell_disbursements,nominal_usd,92,92,0,744461004.44
grants,2016-2017,excluded_annual_identity_unresolved,opeid_master,grant__acg_disbursements,nominal_usd,92,0,92,
grants,2016-2017,excluded_annual_identity_unresolved,opeid_master,grant__smart_disbursements,nominal_usd,92,0,92,
grants,2016-2017,excluded_annual_identity_unresolved,opeid_master,grant__teach_disbursements,nominal_usd,92,92,0,2046682.0
grants,2016-2017,excluded_annual_identity_unresolved,opeid_master,grant__iasg_disbursements,nominal_usd,92,92,0,18291.43
grants,2016-2017,included_unique_family_record,opeid_master,grant__pell_disbursements,nominal_usd,5218,5218,0,26141256476.469997
grants,2016-2017,included_unique_family_record,opeid_master,grant__acg_disbursements,nominal_usd,5218,0,5218,
grants,2016-2017,included_unique_family_record,opeid_master,grant__smart_disbursements,nominal_usd,5218,0,5218,
grants,2016-2017,included_unique_family_record,opeid_master,grant__teach_disbursements,nominal_usd,5218,5218,0,84618057.32999998
grants,2016-2017,included_unique_family_record,opeid_master,grant__iasg_disbursements,nominal_usd,5218,5218,0,354185.14
grants,2017-2018,excluded_annual_identity_unresolved,opeid_master,grant__pell_disbursements,nominal_usd,94,94,0,868571607.1599998
grants,2017-2018,excluded_annual_identity_unresolved,opeid_master,grant__acg_disbursements,nominal_usd,94,0,94,
grants,2017-2018,excluded_annual_identity_unresolved,opeid_master,grant__smart_disbursements,nominal_usd,94,0,94,
grants,2017-2018,excluded_annual_identity_unresolved,opeid_master,grant__teach_disbursements,nominal_usd,94,13,81,2328624.5
grants,2017-2018,excluded_annual_identity_unresolved,opeid_master,grant__iasg_disbursements,nominal_usd,94,2,92,28934.96
grants,2017-2018,included_unique_family_record,opeid_master,grant__pell_disbursements,nominal_usd,5118,5114,4,27801932536.21
grants,2017-2018,included_unique_family_record,opeid_master,grant__acg_disbursements,nominal_usd,5118,0,5118,
