portable_name,canonical_name,variable_label
campus__cw_raw_IPEDSInstnm,campus__cw_raw_IPEDSInstnm,Campus-based: Crosswalk raw IPEDSInstnm
campus__cw_raw_IPEDSPSET4FLG,campus__cw_raw_IPEDSPSET4FLG,Campus-based: Crosswalk raw IPEDSPSET4FLG
campus__cw_raw_f1sysnam,campus__cw_raw_f1sysnam,Campus-based: Crosswalk raw f1sysnam
campus__cw_raw_IPEDSrpt,campus__cw_raw_IPEDSrpt,Campus-based: Crosswalk raw IPEDSrpt
campus__cw_raw_OPEIDMain,campus__cw_raw_OPEIDMain,Campus-based: Crosswalk raw OPEIDMain
campus__cw_raw_IPEDSMain,campus__cw_raw_IPEDSMain,Campus-based: Crosswalk raw IPEDSMain
campus__cw_raw_PY_UNITID,campus__cw_raw_PY_UNITID,Campus-based: Crosswalk raw PY UNITID
campus__cw_raw_PYNotes,campus__cw_raw_PYNotes,Campus-based: Crosswalk raw PYNotes
campus__cw_raw_PY_OPEID,campus__cw_raw_PY_OPEID,Campus-based: Crosswalk raw PY OPEID
campus__cw_raw_COA1,campus__cw_raw_COA1,Campus-based: Crosswalk raw COA1
campus__cw_raw_COA2,campus__cw_raw_COA2,Campus-based: Crosswalk raw COA2
campus__cw_raw_COA3,campus__cw_raw_COA3,Campus-based: Crosswalk raw COA3
campus__cw_raw_COA4,campus__cw_raw_COA4,Campus-based: Crosswalk raw COA4
campus__cw_raw_COA5,campus__cw_raw_COA5,Campus-based: Crosswalk raw COA5
campus__cw_duplicate_opeid_rows,campus__cw_duplicate_opeid_rows,Campus-based: Crosswalk duplicate opeid rows
campus_unitid_source__b3f8f25bba,campus__unitid_source_record_count,Campus-based: UNITID source record count
campus__unitid_record_status,campus__unitid_record_status,Campus-based: UNITID record status
campus__unitid_aid_scope_note,campus__unitid_aid_scope_note,Campus-based: UNITID aid scope note
loan_direct__opeid8,loan_direct__opeid8,Direct Loan: OPEID8
loan_direct__raw_opeid,loan_direct__raw_opeid,Direct Loan: Raw opeid
dl_source_identity_re_613a3c247c,loan_direct__source_identity_resolution,Direct Loan: Source identity resolution
dl_source_record_pres_d395989936,loan_direct__source_record_present,Direct Loan: Source record present
loan_direct__source_filename,loan_direct__source_filename,Direct Loan: Source filename
loan_direct__source_sheet,loan_direct__source_sheet,Direct Loan: Source sheet
loan_direct__source_excel_row,loan_direct__source_excel_row,Direct Loan: Source excel row
loan_direct__school,loan_direct__school,Direct Loan: School
loan_direct__state,loan_direct__state,Direct Loan: State
loan_direct__raw_zip_code,loan_direct__raw_zip_code,Direct Loan: Raw zip code
loan_direct__zip_code,loan_direct__zip_code,Direct Loan: Zip code
loan_direct__school_type,loan_direct__school_type,Direct Loan: School type
dl_sub_recips_fc103e6e8e,loan_direct__subsidized_recipients,Direct Loan: Subsidized recipients
dl_sub_recips_status_0d1a096e0e,loan_direct__subsidized_recipients__status,Direct Loan: Subsidized recipients status
dl_sub_recips_raw_tok_3198562bde,loan_direct__subsidized_recipients__raw_token,Direct Loan: Subsidized recipients raw token
dl_sub_recips_lb_2959869332,loan_direct__subsidized_recipients__lower_bound,Direct Loan: Subsidized recipients lower bound
dl_sub_recips_ub_756a14511c,loan_direct__subsidized_recipients__upper_bound,Direct Loan: Subsidized recipients upper bound
dl_sub_loans_originat_ddea31d0fb,loan_direct__subsidized_loans_originated_n,Direct Loan: Subsidized loans originated count
dl_sub_loans_originat_300b783b40,loan_direct__subsidized_loans_originated_n__status,Direct Loan: Subsidized loans originated count status
dl_sub_loans_originat_eade189749,loan_direct__subsidized_loans_originated_n__raw_token,Direct Loan: Subsidized loans originated count raw token
