file,v2_sha256,v1_sha256,changed_from_v1,csv_member,rows,columns,url,vintage_resolution,has_prch_sfa,has_prch_f
FLAGS2024.zip,d208a29e446e3a858cd8af70982b940578cbfe32a511533a4d22c2d1e0adae1e,32f03112556d4b575c02d100a44eee13bb970f6b2009500c872864a15f71e54d,True,flags2024.csv,6072,118,https://nces.ed.gov/ipeds/complete-data-files/FLAGS2024.zip,current_complete_data_files_endpoint,True,True
FLAGS2025.zip,492379dec18320f9110cf4a3e53cf850a8ed93846565868eaecb8a43c9bc58a1,,,flags2025.csv,5988,19,https://nces.ed.gov/ipeds/complete-data-files/FLAGS2025.zip,current_complete_data_files_endpoint,False,False
HD2002.zip,92c59fbfc243f6afd1420f2fcb7ddac2b227f699672434da5f626f7736080c16,92c59fbfc243f6afd1420f2fcb7ddac2b227f699672434da5f626f7736080c16,False,hd2002.csv,7643,133,https://nces.ed.gov/ipeds/datacenter/data/HD2002.zip,explicit_legacy_archive_fallback_after_current_endpoint_404,True,True
HD2003.zip,1448f42f112f8127c1d003caec8d983317c433c0e98d636ae1b5f19c7880f349,1448f42f112f8127c1d003caec8d983317c433c0e98d636ae1b5f19c7880f349,False,hd2003.csv,7030,131,https://nces.ed.gov/ipeds/datacenter/data/HD2003.zip,explicit_legacy_archive_fallback_after_current_endpoint_404,True,True
HD2004.zip,92a3dc3079f3e7cd5dcd2693361ee8a84661c373851682a9d4a21a36fd95aa5f,92a3dc3079f3e7cd5dcd2693361ee8a84661c373851682a9d4a21a36fd95aa5f,False,hd2004.csv,6916,45,https://nces.ed.gov/ipeds/datacenter/data/HD2004.zip,explicit_legacy_archive_fallback_after_current_endpoint_404,False,False
HD2005.zip,b6c9c0e4634f4404d0670c907e22964ea96932eb2cebbc2efb0759fe055ecbb7,b6c9c0e4634f4404d0670c907e22964ea96932eb2cebbc2efb0759fe055ecbb7,False,hd2005.csv,7018,54,https://nces.ed.gov/ipeds/datacenter/data/HD2005.zip,explicit_legacy_archive_fallback_after_current_endpoint_404,False,False
HD2006.zip,2fe089ae93b3df0085e31ee76471db2cedbc8d2d1d08a6497f460d5cec68cab6,2fe089ae93b3df0085e31ee76471db2cedbc8d2d1d08a6497f460d5cec68cab6,False,hd2006.csv,7052,55,https://nces.ed.gov/ipeds/datacenter/data/HD2006.zip,explicit_legacy_archive_fallback_after_current_endpoint_404,False,False
HD2007.zip,ee66cd0e6676b63dd051d4469d93ddf9492b1d6a2983105a061d2ddc0ac0717d,ee66cd0e6676b63dd051d4469d93ddf9492b1d6a2983105a061d2ddc0ac0717d,False,hd2007.csv,7052,59,https://nces.ed.gov/ipeds/datacenter/data/HD2007.zip,explicit_legacy_archive_fallback_after_current_endpoint_404,False,False
HD2008.zip,eb760d8fd5fa8591e2e4149af1c1954e52ba9a8aacbb5327d066511ff8d7d25b,eb760d8fd5fa8591e2e4149af1c1954e52ba9a8aacbb5327d066511ff8d7d25b,False,hd2008.csv,7126,59,https://nces.ed.gov/ipeds/datacenter/data/HD2008.zip,explicit_legacy_archive_fallback_after_current_endpoint_404,False,False
HD2009.zip,6639ed79d93a4313e0be5830d8250709924811f8dec3fb664a9dea56f7dc1774,6639ed79d93a4313e0be5830d8250709924811f8dec3fb664a9dea56f7dc1774,False,hd2009.csv,7316,63,https://nces.ed.gov/ipeds/datacenter/data/HD2009.zip,explicit_legacy_archive_fallback_after_current_endpoint_404,False,False
