opeid8,unitid,school,ipeds_instnm,state,ipeds_stabbr,ipeds_resolution_status,descriptor_review_required,cw_source_code,first,last,years,similarity,official_normalization_similarity
03010400,158617,CRESCENT CITY SCHOOL OF GAMING & BARTENDING,CRESCENT CITY BARTENDING SCHOOL,NV,LA,unique_annual_directory_only,True,,1999-2000,1999-2000,1,0.8727272727272727,0.631578947368421
02155300,143978,Chicago School of Professional Psychology,The Chicago School of Professional Psychology at Chicago,CA,IL,official_site_and_directory_agree,False,1.0,2011-2012,2011-2012,1,0.8857142857142857,0.8817204301075269
03063000,112710,COMPUTER LEARNING CENTER,COMPUTER LEARNING CENTERS INC,PA,CA,unique_annual_directory_only,False,,1999-2000,1999-2000,1,0.979591836734694,0.9056603773584906
04039300,433466,SULLIVAN AND COGLIANO TRAINING CENTERS,Sullivan and Cogliano Training Center,FL,MA,official_site_and_directory_agree,False,1.0,2012-2013,2013-2014,2,0.9850746268656716,0.9866666666666667
01209000,186274,Robert Fiance Beauty Schools,Robert Fiance Beauty Schools,NJ,FL,official_site_and_directory_agree,False,1.0,2019-2020,2023-2024,5,1.0,1.0
02616400,187161,Sanford-Brown Institute,Sanford-Brown Institute,FL,NJ,official_site_and_directory_agree,False,1.0,2005-2006,2009-2010,5,1.0,1.0
00723401,141468,HEALD COLLEGE - HONOLULU,Heald College-Honolulu,CA,HI,official_site_and_directory_agree,False,1.0,2006-2007,2009-2010,4,1.0,1.0
02339800,107886,SOUTHERN INSTITUTE OF COSMETOLOGY - MAIN CAMPUS,SOUTHERN INSTITUTE OF COSMETOLOGY,TN,AR,official_site_and_directory_agree,False,1.0,2000-2001,2003-2004,4,1.0,0.8461538461538461
00147902,104586,EMBRY-RIDDLE AERONAUTICAL UNIVERSITY - PRESCOTT CAMPUS,Embry Riddle Aeronautical University-Prescott,FL,AZ,official_site_and_directory_agree,False,1.0,2007-2008,2009-2010,3,1.0,0.9278350515463918
00716400,110219,Bryan University,Bryan University,AZ,CA,official_site_and_directory_agree,True,1.0,2014-2015,2016-2017,3,1.0,1.0
