opeid8,award_year,school,state,zip_code,unitid,ipeds_match_status,ipeds_root_unitid_count_start,ipeds_anchor_sensitivity,cw_year,cw_primary_unitid,cw_source_code,cw_source_method,cw_site_candidate_count,cw_additional_candidate_count,cw_site_parse_complete,cw_relation_parse_complete,cw_ipeds_reporting_code,cw_parent_opeid8,cw_preliminary,cw_raw_PEPSSchname,cw_raw_PEPSLocname,cw_raw_IPEDSInstnm,cw_raw_PEPSEligCert,cw_raw_IPEDSPSET4FLG,cw_raw_COA1,cw_raw_PY_OPEID,cw_raw_PYNotes,cw_membership,cw_mapping_status,geography_evidence,same_opeid_foreign_in_other_fsa_year
02203400,2012-2013,NEVADA REGIONAL TECHNICAL CENTER,MO,64772-1298,,no_exact_match,1,ambiguous_or_unmatched,2012,417673,1,ipeds_header_match,1.0,0.0,True,True,1,02203400,False,Nevada Regional Technical Center,Nevada Regional Technical Center,Nevada Regional Technical Center,Yes [YCY],3,-2,02203400,,both,unique_official_site_match,MO,False
02205206,2000-2001,SANFORD-BROWN COLLEGE - COLLINSVILLE,MO,,,no_exact_match,4,ambiguous_or_unmatched,2000,391582,3,relationship_established_from_other_years,1.0,0.0,True,True,2,02205200,False,Sanford-Brown College,Sanford-Brown College - Collinsville,SANFORD-BROWN COLLEGE,Yes,1,-2,-2,,both,unique_official_site_match,MO,False
02205300,2000-2001,SAVANNAH RIVER COLLEGE,GA,30909-2116,,no_exact_match,1,ambiguous_or_unmatched,2000,140191,1,ipeds_header_match,1.0,0.0,True,True,1,02205300,False,Savannah River College,Savannah River College,KERR BUSINESS COLLEGE,Yes,1,-2,-2,,both,unique_official_site_match,GA,False
02236800,2000-2001,PROFESSIONAL BEAUTY SCHOOL,WA,98902-2414,,no_exact_match,2,ambiguous_or_unmatched,2000,413343,3,relationship_established_from_other_years,1.0,0.0,True,True,2,02236800,False,Professional Beauty School,Professional Beauty School,PROFESSIONAL BEAUTY SCHOOL,Yes,1,-2,-2,,both,unique_official_site_match,WA,False
02241900,2012-2013,COMMONWEALTH OF PUERTO RICO DEPARTMENT OF EDUCATION -DEPT OF EDUCATIO,PR,91907,,no_exact_match,6,ambiguous_or_unmatched,2012,418676,3,relationship_established_from_other_years,1.0,0.0,True,True,2,02241900,False,Commonwealth of Puerto Rico Department of Education,Commonwealth of Puerto Rico Department of Education -Dept of Educatio,Carlos F Daniels Area Vocational School,Yes [YPY],3,-2,02241900,,both,unique_official_site_match,PR,False
02241900,2015-2016,COMMONWEALTH OF PUERTO RICO DEPARTMENT OF EDUCATION -DEPT OF EDUCATIO,PR,00919-0759,,no_exact_match,5,ambiguous_or_unmatched,2015,242556,2,institution_reported_reporting_map,1.0,0.0,True,True,2,02241900,False,Commonwealth of Puerto Rico Department of Education,Commonwealth of Puerto Rico Department of Education -Dept of Educatio,Instituto Tecnologico de Puerto Rico-Recinto de Guayama,Yes [YPY],1,-2,02241900,,both,unique_official_site_match,PR,False
02241900,2016-2017,COMMONWEALTH OF PUERTO RICO DEPARTMENT OF EDUCATION -DEPT OF EDUCATIO,PR,00919-0759,,no_exact_match,5,ambiguous_or_unmatched,2016,242556,2,institution_reported_reporting_map,1.0,0.0,True,True,2,02241900,False,Commonwealth of Puerto Rico Department of Education,Commonwealth of Puerto Rico Department of Education -Dept of Educatio,Instituto Tecnologico de Puerto Rico-Recinto de Guayama,Yes [YPY],1,-2,02241900,,both,unique_official_site_match,PR,False
02241901,2006-2007,COMMONWEALTH OF PR DEPT OF EDUC - CARLOS F DANIELS VOC SCHOOL,PR,91907,,no_exact_match,4,ambiguous_or_unmatched,2006,418676,3,relationship_established_from_other_years,1.0,0.0,True,True,2,02241900,False,Commonwealth of Puerto Rico Department of Education,Commonwealth of PR Dept of Educa-Carlos F Daniels Vocational School,Carlos F Daniels Area Vocational School,Yes [YPY],3,-2,02241901,,both,unique_official_site_match,PR,False
02241901,2007-2008,COMMONWEALTH OF PR DEPT OF EDUC - CARLOS F DANIELS VOC SCHOOL,PR,91907,,no_exact_match,4,ambiguous_or_unmatched,2007,418676,3,relationship_established_from_other_years,1.0,0.0,True,True,2,02241900,False,Commonwealth of Puerto Rico Department of Education,Commonwealth of PR Dept of Educ - Carlos F Daniels Voc School,Carlos F Daniels Area Vocational School,Yes [YPY],3,-2,02241901,,both,unique_official_site_match,PR,False
02241901,2008-2009,COMMONWEALTH OF PR DEPT OF EDUC - CARLOS F DANIELS VOC SCHOOL,PR,00919-0759,,no_exact_match,5,ambiguous_or_unmatched,2008,418676,3,relationship_established_from_other_years,1.0,0.0,True,True,2,02241900,False,Commonwealth of Puerto Rico Department of Education,Commonwealth of PR Dept of Educ - Carlos F Daniels Voc School,Carlos F Daniels Area Vocational School,Yes [YPY],3,-2,02241901,,both,unique_official_site_match,PR,False
